URL,Priority
"http://localhost:8080/sites/digitall/home/industries/healthcare.html",1
"http://localhost:8080/sites/digitall/home/industries/insurance.html",1
"http://localhost:8080/sites/digitall/home/industries/financial-services.html",1
"http://localhost:8080/sites/digitall/home/industries/government.html",1
"http://localhost:8080/sites/digitall/home/industries/b2b-software.html",1
"http://localhost:8080/sites/digitall/home/industries/insurance-1.html",2
"http://localhost:8080/sites/digitall/home/industries/healthcare-1.html",1
"http://localhost:8080/sites/digitall/home/industries/government-1.html",1
"http://localhost:8080/sites/digitall/home/industries/b2b-software-1.html",1
"http://localhost:8080/sites/digitall/home/industries/financial-services-1.html",1
