URL,Priority
"http://localhost:8080/sites/www/home/admin/views/b2b-software-technical.html",1
"http://localhost:8080/sites/www/home/admin/views/b2b-software-marketing.html",1
"http://localhost:8080/sites/www/home/admin/views/finserv-marketing.html",1
"http://localhost:8080/sites/www/home/admin/views/finserv-marketing.html",1
"http://localhost:8080/sites/www/home/admin/views/finserv-technical.html",1
"http://localhost:8080/sites/www/home/admin/views/healthcare-marketing.html",1
"http://localhost:8080/sites/www/home/admin/views/healthcare-marketing.html",1
"http://localhost:8080/sites/www/home/admin/views/healthcare-technical.html",1
"http://localhost:8080/sites/www/home/admin/views/government-marketing.html",1
"http://localhost:8080/sites/www/home/admin/views/government-technical.html",1
"http://localhost:8080/sites/www/home/admin/views/insurance-marketing.html",1
"http://localhost:8080/sites/www/home/admin/views/insurance-technical.html",1
